test_case,graph_name,error_rate,algo,ec,n,m_init,m_updates,prediction_accuracy,case1_count,case2_count,online_total_us,online_avg_us_per_update,classical_total_us,classical_avg_us_per_update,speedup_vs_classical
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case02_m200,synthetic,0.1500,incremental,ec,500,1983,200,0.8500,170,30,81.0250,0.4051,29.1670,0.1458,0.3600
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case03_m200,synthetic,0.1500,incremental,noec,500,1983,200,0.0950,19,181,1051.3250,5.2566,23.2780,0.1164,0.0221
graph_synthetic_mode_incremental_strategy_prefix_err0.15_case03_m200,synthetic,0.1500,incremental,ec,500,1983,200,0.0950,19,181,2728.3400,13.6417,35.2230,0.1761,0.0129
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case00_m200,synthetic,0.2000,incremental,noec,500,1983,200,0.8000,160,40,87.2920,0.4365,21.6550,0.1083,0.2481
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case00_m200,synthetic,0.2000,incremental,ec,500,1983,200,0.8000,160,40,103.8950,0.5195,21.3060,0.1065,0.2051
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case01_m200,synthetic,0.2000,incremental,noec,500,1983,200,0.7850,157,43,173.5460,0.8677,42.9290,0.2146,0.2474
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case01_m200,synthetic,0.2000,incremental,ec,500,1983,200,0.7850,157,43,130.5670,0.6528,28.4860,0.1424,0.2182
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case02_m200,synthetic,0.2000,incremental,noec,500,1983,200,0.8000,160,40,95.5480,0.4777,24.2570,0.1213,0.2539
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case02_m200,synthetic,0.2000,incremental,ec,500,1983,200,0.8000,160,40,122.8720,0.6144,22.9220,0.1146,0.1866
graph_synthetic_mode_incremental_strategy_prefix_err0.20_case03_m200,synthetic,0.2000,incremental,noec,500,1983,200,0.8000,160,40,111.7740,0.5589,39.3330,0.1967,0.3519
