test_case,graph_name,error_rate,algo,step_j,last_match_i,eta_e,eta_v,eta_v_star
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,145,93,52,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,146,93,53,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,147,93,54,655.0000,8584.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,148,93,55,653.0000,8582.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,149,93,56,653.0000,8582.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,150,93,57,652.0000,8581.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,151,93,58,652.0000,8581.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,152,93,59,652.0000,8581.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,153,93,60,693.0000,8649.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,154,93,61,700.0000,8656.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,155,93,62,700.0000,8656.0000
graph_synthetic_mode_decremental_strategy_prefix_err0.10_case01_m200,synthetic,0.1000,decremental,156,93,63,704.0000,8660.0000
